id,type,date,amount,category,description
1,SALE,2024-01-15,150.00,electronics,Wireless headphones
2,REFUND,2024-01-16,-25.00,electronics,Defective charger return
3,SALE,2024-01-16,89.99,books,Programming textbook
4,SALE,2024-01-17,34.50,office,Notebook set
5,SALE,2024-01-18,299.00,electronics,Bluetooth speaker
6,REFUND,2024-01-19,-89.99,books,Wrong edition
7,SALE,2024-01-20,45.00,clothing,Cotton t-shirt
8,SALE,2024-01-21,120.00,electronics,USB hub
9,SALE,2024-01-22,15.99,office,Pen pack
10,SALE,2024-01-23,599.00,electronics,Mechanical keyboard
